o	count
rdf:Property	2727
http://www.w3.org/2002/07/owl#DatatypeProperty	1760
http://www.w3.org/2002/07/owl#ObjectProperty	1105
xsd:string	787
http://www.w3.org/2002/07/owl#Class	760
http://dbpedia.org/ontology/Person	499
rdfs:Datatype	382
xsd:nonNegativeInteger	267
http://dbpedia.org/ontology/Place	256
http://dbpedia.org/ontology/PopulatedPlace	245
http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith	225
xsd:double	191
http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs	168
xsd:date	145
http://dbpedia.org/ontology/Athlete	115
http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasLocation	85
http://dbpedia.org/ontology/Settlement	69
http://dbpedia.org/ontology/Organisation	67
http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasParticipant	63
xsd:gYear	60
rdf:langString	59
http://dbpedia.org/ontology/MeanOfTransportation	57
http://dbpedia.org/ontology/Work	54
xsd:integer	53
http://www.w3.org/2002/07/owl#Thing	50
http://dbpedia.org/ontology/SpaceMission	50
http://dbpedia.org/ontology/SportsTeam	49
http://dbpedia.org/ontology/School	48
http://dbpedia.org/ontology/Island	43
http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isParticipantIn	41
http://dbpedia.org/ontology/Species	41
http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isPartOf	38
http://dbpedia.org/ontology/AnatomicalStructure	38
http://dbpedia.org/ontology/ArchitecturalStructure	37
http://dbpedia.org/ontology/Artist	36
http://dbpedia.org/ontology/SportsLeague	36
http://dbpedia.org/ontology/WrittenWork	35
http://dbpedia.org/ontology/Company	35
http://dbpedia.org/ontology/TennisPlayer	34
http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasCommonBoundary	33
http://dbpedia.org/ontology/RouteOfTransportation	33
http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isClassifiedBy	33
http://dbpedia.org/ontology/MilitaryUnit	32
http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isMemberOf	31
http://dbpedia.org/ontology/Agent	31
http://dbpedia.org/ontology/Broadcaster	31
http://dbpedia.org/ontology/Country	30
http://www.w3.org/2002/07/owl#FunctionalProperty	30
http://dbpedia.org/ontology/Film	29
http://dbpedia.org/ontology/Building	28
http://dbpedia.org/ontology/ChemicalSubstance	28
http://dbpedia.org/ontology/Award	28
xsd:float	28
http://dbpedia.org/ontology/River	27
http://dbpedia.org/ontology/Planet	27
http://dbpedia.org/ontology/Spacecraft	26
http://dbpedia.org/datatype/millimetre	26
http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasPart	26
http://dbpedia.org/datatype/kilogram	25
http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isLocationOf	24
http://dbpedia.org/ontology/FictionalCharacter	24
http://dbpedia.org/ontology/SportsEvent	24
http://dbpedia.org/ontology/EducationalInstitution	24
http://dbpedia.org/ontology/GrandPrix	23
http://dbpedia.org/ontology/AutomobileEngine	23
http://dbpedia.org/ontology/CelestialBody	22
http://dbpedia.org/ontology/Event	22
http://dbpedia.org/ontology/Mountain	21
http://dbpedia.org/ontology/Food	21
http://dbpedia.org/ontology/Canal	21
http://dbpedia.org/ontology/Infrastructure	21
http://dbpedia.org/ontology/Animal	20
http://dbpedia.org/ontology/GolfPlayer	19
http://dbpedia.org/ontology/Station	19
http://dbpedia.org/ontology/Language	18
http://dbpedia.org/ontology/Rocket	18
http://dbpedia.org/ontology/PoliticalParty	18
xsd:positiveInteger	18
Reserved for DBpedia.	17
http://dbpedia.org/ontology/Galaxy	17
http://dbpedia.org/ontology/Biomolecule	16
http://dbpedia.org/ontology/NaturalPlace	15
http://dbpedia.org/datatype/kilometre	15
http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isSettingFor	15
http://dbpedia.org/ontology/TopicalConcept	15
http://dbpedia.org/ontology/SpaceShuttle	15
http://dbpedia.org/ontology/Engine	15
http://dbpedia.org/ontology/TelevisionShow	15
http://dbpedia.org/ontology/Boxer	15
http://dbpedia.org/ontology/Ship	15
http://dbpedia.org/ontology/MusicalWork	15
http://dbpedia.org/ontology/Plant	14
http://dbpedia.org/ontology/MilitaryPerson	14
http://dbpedia.org/ontology/Software	14
http://dbpedia.org/ontology/Mill	13
http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasMember	13
http://dbpedia.org/ontology/FormulaOneRacer	13
http://dbpedia.org/ontology/OlympicResult	13
http://dbpedia.org/ontology/Politician	13
http://dbpedia.org/ontology/PersonFunction	13
http://dbpedia.org/ontology/MusicalArtist	13
http://dbpedia.org/ontology/PeriodicalLiterature	13
http://dbpedia.org/ontology/Aircraft	13
http://dbpedia.org/ontology/SoccerClub	13
http://dbpedia.org/ontology/IceHockeyPlayer	13
http://dbpedia.org/ontology/Colour	12
http://dbpedia.org/ontology/name	12
http://dbpedia.org/datatype/kelvin	12
http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasQuality	12
http://dbpedia.org/ontology/ReligiousBuilding	12
http://dbpedia.org/ontology/BodyOfWater	12
http://dbpedia.org/ontology/Actor	12
http://dbpedia.org/ontology/SocietalEvent	12
http://dbpedia.org/ontology/Legislature	11
http://dbpedia.org/ontology/Stream	11
http://dbpedia.org/ontology/Saint	11
http://dbpedia.org/ontology/YearInSpaceflight	11
http://dbpedia.org/ontology/MilitaryConflict	11
http://dbpedia.org/ontology/PokerPlayer	11
http://dbpedia.org/ontology/Olympics	11
http://dbpedia.org/ontology/code	11
http://dbpedia.org/ontology/Automobile	11
http://dbpedia.org/ontology/WinterSportPlayer	11
http://dbpedia.org/ontology/Disease	11
http://dbpedia.org/ontology/Cleric	11
http://dbpedia.org/ontology/GovernmentalAdministrativeRegion	11
http://dbpedia.org/ontology/SoccerPlayer	11
http://dbpedia.org/ontology/LaunchPad	10
http://dbpedia.org/ontology/Airport	10
http://dbpedia.org/ontology/SoccerTournament	10
http://dbpedia.org/ontology/Play	10
http://dbpedia.org/ontology/City	10
http://dbpedia.org/datatype/squareKilometre	10
http://dbpedia.org/ontology/AdministrativeRegion	10
http://dbpedia.org/ontology/Sport	10
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing	9
http://dbpedia.org/ontology/WineRegion	9
http://dbpedia.org/ontology/On-SiteTransportation	9
http://dbpedia.org/ontology/Department	9
http://dbpedia.org/ontology/TimePeriod	9
mass (kg)	9
http://dbpedia.org/ontology/Road	9
Masse (kg)	9
http://dbpedia.org/datatype/metre	9
http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isDescribedBy	9
μάζα (kg)	9
http://dbpedia.org/ontology/PowerStation	8
βάρος (kg)	8
http://dbpedia.org/ontology/Album	8
gewicht (kg)	8
体重 (kg)	8
http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#specializes	8
http://dbpedia.org/ontology/MusicGenre	8
poids (kg)	8
http://dbpedia.org/ontology/Document	8
Gewicht (kg)	8
http://dbpedia.org/ontology/Activity	8
http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#nearTo	8
peso (kg)	8
http://dbpedia.org/ontology/Municipality	8
тежина (kg)	8
http://dbpedia.org/ontology/Scientist	8
http://dbpedia.org/ontology/Tournament	8
http://dbpedia.org/ontology/Race	8
http://dbpedia.org/ontology/closeTo	8
weight (kg)	8
http://dbpedia.org/ontology/MountainRange	8
http://dbpedia.org/ontology/LegalCase	8
http://dbpedia.org/ontology/SnookerPlayer	8
http://dbpedia.org/ontology/RouteStop	7
身長 (mm)	7
http://www.w3.org/2004/02/skos/core#Concept	7
http://dbpedia.org/ontology/Airline	7
breedte (mm)	7
Länge (mm)	7
Höhe (mm)	7
http://dbpedia.org/ontology/Athlete,_CareerStation	7
altura (mm)	7
http://dbpedia.org/ontology/Openswarm	7
http://dbpedia.org/ontology/Writer	7
http://dbpedia.org/ontology/SportCompetitionResult	7
height (mm)	7
hauteur (mm)	7
length (mm)	7
http://dbpedia.org/ontology/GeneLocation	7
πλάτος (mm)	7
lengte (mm)	7
http://dbpedia.org/ontology/Bridge	7
longueur (mm)	7
višina (mm)	7
http://schema.org/Product	7
ύψος (mm)	7
Breite (mm)	7
http://dbpedia.org/ontology/ResearchProject	7
μήκος (mm)	7
ширина (mm)	7
http://dbpedia.org/ontology/Skyscraper	7
hoogte (mm)	7
http://dbpedia.org/ontology/University	7
http://dbpedia.org/ontology/Family	7
width (mm)	7
ancho (mm)	7
http://dbpedia.org/ontology/CollegeCoach	6
http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isSpecializedBy	6
http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isExpressedBy	6
http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasComponent	6
http://dbpedia.org/ontology/MovingWalkway	6
http://dbpedia.org/ontology/Single	6
http://www.wikidata.org/entity/P131	6
http://dbpedia.org/ontology/Hotel	6
http://dbpedia.org/ontology/File	6
diamètre (μ)	6
http://dbpedia.org/ontology/Protein	6
διάμετρος (μ)	6
http://dbpedia.org/ontology/Project	6
Durchmesser (μ)	6
http://dbpedia.org/ontology/Device	6
περιοχή	6
http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasSetting	6
http://dbpedia.org/ontology/Weapon	6
diameter (μ)	6
http://dbpedia.org/ontology/ConveyorSystem	6
http://dbpedia.org/datatype/hour	6
diameter (μ)	6
http://dbpedia.org/ontology/Escalator	6
http://dbpedia.org/datatype/day	6
http://dbpedia.org/ontology/GridironFootballPlayer	6
http://dbpedia.org/ontology/Beverage	6
http://dbpedia.org/ontology/Sales	6
http://dbpedia.org/ontology/SoccerLeagueSeason	5
http://dbpedia.org/ontology/SportFacility	5
http://dbpedia.org/ontology/BaseballPlayer	5
http://dbpedia.org/ontology/Band	5
xsd:boolean	5
provincie	5
http://dbpedia.org/ontology/Genre	5
http://dbpedia.org/ontology/FigureSkater	5
http://dbpedia.org/ontology/Gene	5
bevolkingsdichtheid (/sqkm)	5
http://dbpedia.org/ontology/Instrument	5
http://dbpedia.org/ontology/ChemicalElement	5
http://dbpedia.org/ontology/Comic	5
http://dbpedia.org/ontology/ChristianDoctrine	5
number of office holder	5
http://dbpedia.org/ontology/Drug	5
http://dbpedia.org/ontology/AcademicJournal	5
http://dbpedia.org/ontology/SportsTeamSeason	5
http://dbpedia.org/ontology/Monarch	5
http://dbpedia.org/ontology/Artwork	5
http://dbpedia.org/ontology/HistoricPlace	5
Gemeinde	5
http://dbpedia.org/ontology/RecordLabel	4
http://dbpedia.org/ontology/ClericalAdministrativeRegion	4
http://dbpedia.org/ontology/RacingDriver	4
http://schema.org/duration	4
http://dbpedia.org/datatype/cubicMetrePerSecond	4
Dichte (μ3)	4
http://dbpedia.org/ontology/Region	4
密度 (μ3)	4
http://dbpedia.org/ontology/TelevisionEpisode	4
http://dbpedia.org/ontology/HockeyTeam	4
densité (μ3)	4
Wettbewerb	4
http://dbpedia.org/ontology/Locomotive	4
http://dbpedia.org/ontology/Constellation	4
http://dbpedia.org/ontology/MemberResistanceMovement	4
density (μ3)	4
http://dbpedia.org/ontology/TermOfOffice	4
http://dbpedia.org/ontology/Museum	4
http://dbpedia.org/ontology/Restaurant	4
http://dbpedia.org/ontology/HungarySettlement	4
densità (μ3)	4
http://dbpedia.org/ontology/Coach	4
http://dbpedia.org/ontology/FormulaOneRacing	4
ville	4
http://dbpedia.org/ontology/Newspaper	4
http://dbpedia.org/ontology/Monument	4
http://dbpedia.org/datatype/inhabitantsPerSquareKilometre	4
πόλη	4
http://dbpedia.org/ontology/Architect	4
http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasRole	4
πυκνότητα (μ3)	4
http://dbpedia.org/ontology/SpaceStation	4
densidade (μ3)	4
http://dbpedia.org/ontology/PersonalEvent	4
http://dbpedia.org/ontology/RadioStation	4
http://dbpedia.org/ontology/Lake	4
Bezirk	4
http://dbpedia.org/ontology/Comedian	4
http://dbpedia.org/ontology/EthnicGroup	4
http://dbpedia.org/ontology/Reference	4
http://dbpedia.org/ontology/FormerMunicipality	4
http://dbpedia.org/ontology/Name	4
http://dbpedia.org/ontology/Brain	4
http://dbpedia.org/ontology/LanguageCode	4
xsd:dateTime	4
kookpunt (K)	3
ceantar	3
http://dbpedia.org/ontology/NobleFamily	3
http://dbpedia.org/ontology/Group	3
Durchschnittstemperatur (K)	3
http://dbpedia.org/ontology/CareerStation	3
Η μέση ταχύτητα ενός πράγματος.	3
Herausgeber	3
devise	3
όγκος (μ³)	3
http://dbpedia.org/ontology/Cartoon	3
http://dbpedia.org/ontology/Taxon	3
http://dbpedia.org/ontology/Cemetery	3
http://dbpedia.org/ontology/Demographics	3
απόαψης (km)	3
etnia	3
μέση θερμοκρασία (K)	3
http://dbpedia.org/ontology/RaceTrack	3
Temperatur (K)	3
family	3
http://dbpedia.org/ontology/Magazine	3
melting point (K)	3
http://dbpedia.org/ontology/NaturalEvent	3
geringste Temperatur (K)	3
апоапсис (km)	3
δήμος	3
Schmelzpunkt (K)	3
http://dbpedia.org/ontology/Image	3
volume (μ³)	3
volume (μ³)	3
Periapsisdistanz (km)	3
http://dbpedia.org/ontology/SiteOfSpecialScientificInterest	3
μέγιστη θερμοκρασία (K)	3
arrondissement	3
président	3
name	3
apoapsis (km)	3
http://dbpedia.org/ontology/Code	3
température (K)	3
Staat	3
πρόεδρος	3
Bevölkerungsdichte (/sqkm)	3
maximum temperature (K)	3
population density (/sqkm)	3
beroep	3
Region	3
http://dbpedia.org/ontology/language	3
http://dbpedia.org/ontology/FilmFestival	3
http://dbpedia.org/ontology/PenaltyShootOut	3
έκταση (km2)	3
http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#conceptualizes	3
minimum temperature (K)	3
mean temperature (K)	3
stad	3
Stadt	3
temperature (K)	3
μουσικός	3
запремина (μ³)	3
http://dbpedia.org/datatype/kilogramPerCubicMetre	3
http://dbpedia.org/ontology/wgs84_pos:SpatialThing	3
http://dbpedia.org/ontology/Criminal	3
http://dbpedia.org/ontology/Astronaut	3
σημείο βρασμού (K)	3
http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Concept	3
घनत्व (/sqkm)	3
http://dbpedia.org/ontology/RestArea	3
http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasConstituent	3
point de fusion (K)	3
Apoapsisdistanz (km)	3
http://dbpedia.org/ontology/Medalist	3
Siedepunkt (K)	3
http://dbpedia.org/ontology/PublicTransitSystem	3
http://dbpedia.org/ontology/Wrestler	3
volume (μ³)	3
http://dbpedia.org/ontology/Currency	3
ομάδα	3
http://dbpedia.org/ontology/StatedResolution	3
http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation	3
Auszeichnung	3
http://dbpedia.org/ontology/Continent	3
http://dbpedia.org/ontology/VolleyballPlayer	3
country	3
The average speed of a thing.	3
http://dbpedia.org/ontology/Province	3
Trainer	3
http://dbpedia.org/ontology/ChemicalCompound	3
http://dbpedia.org/ontology/Eukaryote	3
τύπος	3
