p	count
rdfs:label	12139
rdf:type	6766
http://www.w3.org/ns/prov#wasDerivedFrom	3487
rdfs:range	2588
rdfs:domain	2421
rdfs:comment	1233
rdfs:subPropertyOf	975
rdfs:subClassOf	769
http://www.w3.org/2002/07/owl#equivalentClass	414
http://www.w3.org/2002/07/owl#equivalentProperty	220
http://www.w3.org/2002/07/owl#disjointWith	25
http://creativecommons.org/ns#license	2
http://purl.org/dc/terms/modified	1
http://purl.org/vocab/vann/preferredNamespacePrefix	1
http://www.w3.org/2002/07/owl#versionInfo	1
http://purl.org/dc/terms/description	1
http://purl.org/vocab/vann/preferredNamespaceUri	1
http://purl.org/dc/terms/source	1
http://purl.org/dc/terms/creator	1
http://purl.org/dc/terms/title	1
http://xmlns.com/foaf/0.1/homepage	1
http://purl.org/dc/terms/issued	1
http://purl.org/dc/terms/publisher	1
