o	count
http://yago-knowledge.org/resource/wordnet_person_100007846	12078
http://yago-knowledge.org/resource/male	9242
http://yago-knowledge.org/resource/female	2728
http://yago-knowledge.org/resource/Los_Angeles	993
http://yago-knowledge.org/resource/New_York_City	860
http://yago-knowledge.org/resource/London	656
http://yago-knowledge.org/resource/United_States	615
http://yago-knowledge.org/resource/Golden_Globe_Award	583
http://yago-knowledge.org/resource/wordnet_guitar_103467517	410
http://yago-knowledge.org/resource/Emmy_Award	327
http://yago-knowledge.org/resource/Legion_of_Merit	313
http://yago-knowledge.org/resource/wordnet_vocal_music_107282006	306
http://yago-knowledge.org/resource/Paris	301
http://yago-knowledge.org/resource/Tony_Award	273
http://yago-knowledge.org/resource/wordnet_piano_103928116	268
http://yago-knowledge.org/resource/Grammy_Award	260
http://yago-knowledge.org/resource/Chicago	253
http://yago-knowledge.org/resource/Distinguished_Service_Medal	227
http://yago-knowledge.org/resource/Bronze_Star_Medal	221
http://yago-knowledge.org/resource/Primetime_Emmy_Award	211
http://yago-knowledge.org/resource/Mumbai	205
http://yago-knowledge.org/resource/Filmfare_Awards	188
http://yago-knowledge.org/resource/Filmfare_Awards_South	179
http://yago-knowledge.org/resource/Silver_Star	173
http://yago-knowledge.org/resource/Harvard_University	163
http://yago-knowledge.org/resource/Air_Medal	159
http://yago-knowledge.org/resource/Rome	155
http://yago-knowledge.org/resource/César_Award	154
http://yago-knowledge.org/resource/United_Kingdom	153
http://yago-knowledge.org/resource/David_di_Donatello	151
http://yago-knowledge.org/resource/Distinguished_Service_Medal_(U.S._Army)	148
http://yago-knowledge.org/resource/Moscow	145
http://yago-knowledge.org/resource/Drama_Desk_Award	145
http://yago-knowledge.org/resource/Santa_Monica,_California	136
http://yago-knowledge.org/resource/Legion_of_Honour	136
http://yago-knowledge.org/resource/Purple_Heart	123
http://yago-knowledge.org/resource/National_Medal_of_Science	122
http://yago-knowledge.org/resource/Beverly_Hills,_California	120
http://yago-knowledge.org/resource/University_of_Cambridge	119
http://yago-knowledge.org/resource/Philadelphia	116
http://yago-knowledge.org/resource/National_Film_Awards_(India)	113
http://yago-knowledge.org/resource/San_Francisco	112
http://yago-knowledge.org/resource/Writers_Guild_of_America_Award	109
http://yago-knowledge.org/resource/Distinguished_Flying_Cross_(United_States)	107
http://yago-knowledge.org/resource/Distinguished_Service_Cross_(United_States)	106
http://yago-knowledge.org/resource/Order_of_Lenin	106
http://yago-knowledge.org/resource/Chennai	100
http://yago-knowledge.org/resource/Germany	100
http://yago-knowledge.org/resource/Padma_Shri	98
http://yago-knowledge.org/resource/Order_of_the_Bath	97
http://yago-knowledge.org/resource/Nastro_d'Argento	97
http://yago-knowledge.org/resource/Columbia_University	97
http://yago-knowledge.org/resource/India	93
http://yago-knowledge.org/resource/Republican_Party_(United_States)	89
http://yago-knowledge.org/resource/Tamil_Nadu_State_Film_Awards	89
http://yago-knowledge.org/resource/Kerala_State_Film_Award	88
http://yago-knowledge.org/resource/Saturn_Award	87
http://yago-knowledge.org/resource/wordnet_keyboard_103614007	87
http://yago-knowledge.org/resource/Volpi_Cup	87
http://yago-knowledge.org/resource/wordnet_bass_guitar_102804123	86
http://yago-knowledge.org/resource/Washington,_D.C.	85
http://yago-knowledge.org/resource/Berlin	84
http://yago-knowledge.org/resource/Princeton_University	82
http://yago-knowledge.org/resource/Boston	81
http://yago-knowledge.org/resource/Genie_Awards	80
http://yago-knowledge.org/resource/California	80
http://yago-knowledge.org/resource/Toronto	79
http://yago-knowledge.org/resource/Massachusetts_Institute_of_Technology	78
http://yago-knowledge.org/resource/Order_of_the_British_Empire	78
http://yago-knowledge.org/resource/Laurence_Olivier_Award	77
http://yago-knowledge.org/resource/wordnet_harmonica_103494278	76
http://yago-knowledge.org/resource/Tokyo	75
http://yago-knowledge.org/resource/Academy_Award_for_Best_Actor	74
http://yago-knowledge.org/resource/University_of_Chicago	74
http://yago-knowledge.org/resource/wordnet_synthesist_110687231	73
http://yago-knowledge.org/resource/Vienna	72
http://yago-knowledge.org/resource/Detroit	72
http://yago-knowledge.org/resource/Order_of_Merit_of_the_Federal_Republic_of_Germany	71
http://yago-knowledge.org/resource/Edgar_Award	70
http://yago-knowledge.org/resource/University_of_California,_Berkeley	70
http://yago-knowledge.org/resource/Donaldson_Awards	69
http://yago-knowledge.org/resource/Kolkata	68
http://yago-knowledge.org/resource/Film_Independent_Spirit_Awards	68
http://yago-knowledge.org/resource/wordnet_drum_103249569	67
